City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,filadelfia,39.9523,-75.1638,32.16,56,40,2.57,US,1724698775
340,pleiku,13.9833,108.0,20.22,96,100,0.68,VN,1724698989
341,joshimath,30.5667,79.5667,17.83,86,100,0.33,IN,1724698990
342,arteche,12.2645,125.4048,24.87,95,81,2.17,PH,1724698991
343,villa de arriaga,21.9097,-101.3826,23.9,33,0,4.17,MX,1724698992
344,loen,7.7601,168.2307,28.54,81,92,7.08,MH,1724698994
345,cooper's town,26.8667,-77.5167,28.99,75,100,6.2,BS,1724698995
346,sona,45.4388,10.8255,26.58,61,20,2.06,IT,1724698996
347,tazovsky,67.4667,78.7,11.96,89,88,3.03,RU,1724698997
348,rawson,-43.3002,-65.1023,17.16,29,0,7.72,AR,1724698752
349,saint-philippe,-21.3585,55.7679,19.27,76,53,6.03,RE,1724698999
350,oltinko'l,40.8011,72.1634,24.76,23,2,2.46,UZ,1724699000
351,natal,-5.795,-35.2094,29.36,61,20,9.77,BR,1724698836
352,puerto lempira,15.2667,-83.7667,32.08,66,40,0.0,HN,1724698817
353,namibe,-15.1961,12.1522,17.85,85,53,1.35,AO,1724699004
354,laguna,38.421,-121.4238,31.37,33,0,2.57,US,1724699005
355,aykhal,66.0,111.5,9.89,68,100,1.58,RU,1724699006
356,bikenibeu village,1.3673,173.1241,27.98,83,40,2.06,KI,1724699007
357,yen bai,21.7,104.8667,24.96,97,19,0.85,VN,1724699008
358,lebu,-37.6167,-73.65,12.2,65,6,3.66,CL,1724699010
359,nadym,65.5333,72.5167,12.87,80,20,1.12,RU,1724699012
360,fomboni,-12.28,43.7425,25.14,76,5,3.95,KM,1724699013
361,balezino,57.9796,53.0106,13.8,79,9,1.05,RU,1724699014
362,stansbury park,40.6377,-112.2961,24.4,37,0,3.07,US,1724699015
